"date","song","playcount","ranking"
"2018-05-16","Bohemian Rhapsody - Remastered 2011",602848,174
"2018-05-17","Bohemian Rhapsody - Remastered 2011",596564,177
"2018-05-19","Bohemian Rhapsody - Remastered 2011",575992,189
"2018-05-20","Bohemian Rhapsody - Remastered 2011",513748,191
"2018-05-23","Bohemian Rhapsody - Remastered 2011",569433,198
"2018-05-24","Bohemian Rhapsody - Remastered 2011",582566,192
"2018-07-19","Bohemian Rhapsody - Remastered 2011",580268,180
"2018-07-20","Bohemian Rhapsody - Remastered 2011",596128,191
"2018-07-21","Bohemian Rhapsody - Remastered 2011",582461,174
"2018-07-22","Bohemian Rhapsody - Remastered 2011",510228,182
"2018-07-26","Bohemian Rhapsody - Remastered 2011",549462,192
"2018-07-27","Bohemian Rhapsody - Remastered 2011",576981,188
"2018-07-28","Bohemian Rhapsody - Remastered 2011",571512,176
"2018-07-29","Bohemian Rhapsody - Remastered 2011",509989,174
"2018-08-01","Bohemian Rhapsody - Remastered 2011",528813,195
"2018-08-02","Bohemian Rhapsody - Remastered 2011",541601,186
"2018-08-04","Bohemian Rhapsody - Remastered 2011",566325,192
"2018-08-05","Bohemian Rhapsody - Remastered 2011",506271,189
"2018-08-18","Bohemian Rhapsody - Remastered 2011",555572,197
"2018-08-19","Bohemian Rhapsody - Remastered 2011",496553,196
"2018-08-25","Bohemian Rhapsody - Remastered 2011",573675,186
"2018-08-26","Bohemian Rhapsody - Remastered 2011",508365,184
"2018-08-29","Bohemian Rhapsody - Remastered 2011",540722,196
"2018-08-30","Bohemian Rhapsody - Remastered 2011",561143,182
"2018-09-01","Bohemian Rhapsody - Remastered 2011",579604,180
"2018-09-02","Bohemian Rhapsody - Remastered 2011",512164,179
"2018-09-05","Bohemian Rhapsody - Remastered 2011",571282,189
"2018-09-06","Bohemian Rhapsody - Remastered 2011",587131,177
"2018-09-07","Bohemian Rhapsody - Remastered 2011",618042,188
"2018-09-08","Bohemian Rhapsody - Remastered 2011",597681,182
"2018-09-09","Bohemian Rhapsody - Remastered 2011",525649,177
"2018-09-11","Bohemian Rhapsody - Remastered 2011",553113,196
"2018-09-12","Bohemian Rhapsody - Remastered 2011",581114,183
"2018-09-13","Bohemian Rhapsody - Remastered 2011",613434,172
"2018-09-14","Bohemian Rhapsody - Remastered 2011",636654,182
"2018-09-15","Bohemian Rhapsody - Remastered 2011",625539,163
"2018-09-16","Bohemian Rhapsody - Remastered 2011",541475,165
"2018-09-17","Bohemian Rhapsody - Remastered 2011",547776,200
"2018-09-20","Bohemian Rhapsody - Remastered 2011",562274,199
"2018-09-22","Bohemian Rhapsody - Remastered 2011",593040,180
"2018-09-23","Bohemian Rhapsody - Remastered 2011",515177,178
"2018-09-26","Bohemian Rhapsody - Remastered 2011",550784,200
