"date","playcount","ranking"
"2018-10-20",215517,186
"2018-10-21",196923,181
"2018-10-27",218637,177
"2018-10-28",205096,167
"2018-10-29",215322,185
"2018-10-30",229836,170
"2018-10-31",242014,170
"2018-11-01",252074,136
"2018-11-02",385007,91
"2018-11-03",434210,56
"2018-11-04",441576,44
"2018-11-05",531438,40
"2018-11-06",514163,44
"2018-11-07",521918,43
"2018-11-08",507028,44
"2018-11-09",519694,61
"2018-11-10",513221,44
"2018-11-11",495530,39
"2018-11-12",530380,38
"2018-11-13",522832,41
"2018-11-14",522809,42
"2018-11-15",495690,45
"2018-11-16",509794,49
"2018-11-17",510181,41
"2018-11-18",475784,36
"2018-11-19",492567,46
"2018-11-20",500016,45
"2018-11-21",537813,40
"2018-11-22",496560,36
"2018-11-23",429105,41
"2018-11-24",446631,41
"2018-11-25",452749,43
"2018-11-26",456482,48
"2018-11-27",443112,53
"2018-11-28",424340,70
"2018-11-29",416979,73
"2018-11-30",428939,103
"2018-12-01",410800,91
"2018-12-02",379127,80
"2018-12-03",394382,79
"2018-12-04",393065,86
"2018-12-05",387293,89
"2018-12-06",386897,91
"2018-12-07",389994,105
"2018-12-08",372532,103
"2018-12-09",337539,101
"2018-12-10",346907,106
"2018-12-11",358604,102
"2018-12-12",364897,100
"2018-12-13",372347,100
"2018-12-14",377310,109
"2018-12-15",366536,101
"2018-12-16",330632,100
"2018-12-17",338302,109
"2018-12-18",345314,105
"2018-12-19",344246,108
"2018-12-20",347347,108
"2018-12-21",350290,136
"2018-12-22",342774,130
"2018-12-23",310230,134
"2018-12-24",306565,180
"2018-12-26",298651,105
"2018-12-27",313999,99
"2018-12-28",314260,94
"2018-12-29",309542,92
"2018-12-30",293127,85
"2018-12-31",316402,94
"2019-01-01",312345,90
"2019-01-02",289814,101
"2019-01-03",303630,100
"2019-01-04",312980,100
"2019-01-05",310735,90
"2019-01-06",293841,86
"2019-01-07",328837,90
"2019-01-08",326941,98
"2019-01-09",326158,96
"2019-01-10",331651,97
"2019-01-11",339868,102
"2019-01-12",322734,92
"2019-01-13",296930,93
"2019-01-14",307989,105
"2019-01-15",315514,104
"2019-01-16",317493,105
"2019-01-17",324366,102
"2019-01-18",335483,124
"2019-01-19",319133,107
"2019-01-20",290786,98
"2019-01-21",294195,105
"2019-01-22",303046,117
"2019-01-23",314517,120
"2019-01-24",344465,100
"2019-01-25",344059,107
"2019-01-26",345418,92
"2019-01-27",329841,88
"2019-01-28",334376,99
"2019-01-29",330756,102
"2019-01-30",324646,103
"2019-01-31",326116,104
"2019-02-01",347842,104
"2019-02-02",347088,91
"2019-02-03",335495,85
"2019-02-04",313806,103
"2019-02-05",327119,102
"2019-02-06",322725,104
"2019-02-07",327462,105
"2019-02-08",337839,111
"2019-02-09",326522,101
"2019-02-10",307661,96
"2019-02-11",309540,113
"2019-02-12",312105,114
"2019-02-13",325195,108
"2019-02-14",346291,101
"2019-02-15",378695,95
"2019-02-16",385924,78
"2019-02-17",371150,69
"2019-02-18",384477,72
"2019-02-19",381866,76
"2019-02-20",373168,82
"2019-02-21",381357,81
"2019-02-22",413136,89
"2019-02-23",425704,67
"2019-02-24",415156,54
"2019-02-25",473415,51
"2019-02-26",463710,56
"2019-02-27",448211,59
"2019-02-28",435649,59
"2019-03-01",453712,68
"2019-03-02",453804,57
"2019-03-03",421089,50
"2019-03-04",428623,61
"2019-03-05",430744,62
"2019-03-06",415067,63
"2019-03-07",419024,65
"2019-03-08",441314,78
"2019-03-09",441503,65
"2019-03-10",411555,60
"2019-03-11",394085,73
"2019-03-12",387839,73
"2019-03-13",382038,74
"2019-03-14",390283,73
"2019-03-15",414178,74
