Date,Sum of Play Count,Max of Play Count,Min of Play Count,Count
2018-10-20,215517,215517,215517,1
2018-10-21,196923,196923,196923,1
2018-10-27,218637,218637,218637,1
2018-10-28,205096,205096,205096,1
2018-10-29,215322,215322,215322,1
2018-10-30,229836,229836,229836,1
2018-10-31,242014,242014,242014,1
2018-11-01,252074,252074,252074,1
2018-11-02,616037,385007,231030,2
2018-11-03,1596600,434210,206714,6
2018-11-04,1803242,441576,182823,7
2018-11-05,2217218,531438,238619,7
2018-11-06,2083400,514163,218953,7
2018-11-07,2110310,521918,219135,7
2018-11-08,1612305,507028,248624,5
2018-11-09,1623612,519694,249569,5
2018-11-10,1845691,513221,217856,6
2018-11-11,1979450,495530,196185,7
2018-11-12,2170839,530380,221956,7
2018-11-13,2153351,522832,213813,7
2018-11-14,1925674,522809,234520,6
2018-11-15,1813090,495690,216412,6
2018-11-16,1625186,509794,243452,5
2018-11-17,1598411,510181,238479,5
2018-11-18,1675283,475784,196331,6
2018-11-19,1803113,492567,220601,6
2018-11-20,1834589,500016,223572,6
2018-11-21,1950977,537813,231889,6
2018-11-22,1768341,496560,206317,6
2018-11-23,1350230,429105,201162,5
2018-11-24,1627929,446631,195163,6
2018-11-25,1658492,452749,197733,6
2018-11-26,1724220,456482,212213,6
2018-11-27,1244520,443112,265762,4
2018-11-28,1203070,424340,257516,4
2018-11-29,1185148,416979,253761,4
2018-11-30,428939,428939,428939,1
2018-12-01,410800,410800,410800,1
2018-12-02,605377,379127,226250,2
2018-12-03,638073,394382,243691,2
2018-12-04,637758,393065,244693,2
2018-12-05,631096,387293,243803,2
2018-12-06,627003,386897,240106,2
2018-12-07,389994,389994,389994,1
2018-12-08,372532,372532,372532,1
2018-12-09,337539,337539,337539,1
2018-12-10,346907,346907,346907,1
2018-12-11,358604,358604,358604,1
2018-12-12,364897,364897,364897,1
2018-12-13,630872,372347,258525,2
2018-12-14,377310,377310,377310,1
2018-12-15,366536,366536,366536,1
2018-12-16,330632,330632,330632,1
2018-12-17,338302,338302,338302,1
2018-12-18,345314,345314,345314,1
2018-12-19,344246,344246,344246,1
2018-12-20,347347,347347,347347,1
2018-12-21,350290,350290,350290,1
2018-12-22,342774,342774,342774,1
2018-12-23,310230,310230,310230,1
2018-12-24,306565,306565,306565,1
2018-12-25,388089,388089,388089,1
2018-12-26,298651,298651,298651,1
2018-12-27,313999,313999,313999,1
2018-12-28,314260,314260,314260,1
2018-12-29,309542,309542,309542,1
2018-12-30,474147,293127,181020,2
2018-12-31,564531,316402,248129,2
2019-01-01,666691,354346,312345,2
2019-01-02,496625,289814,206811,2
2019-01-03,516416,303630,212786,2
2019-01-04,532417,312980,219437,2
2019-01-05,525353,310735,214618,2
2019-01-06,490286,293841,196445,2
2019-01-07,554804,328837,225967,2
2019-01-08,557647,326941,230706,2
2019-01-09,554031,326158,227873,2
2019-01-10,559205,331651,227554,2
2019-01-11,573974,339868,234106,2
2019-01-12,540223,322734,217489,2
2019-01-13,494491,296930,197561,2
2019-01-14,524268,307989,216279,2
2019-01-15,542224,315514,226710,2
2019-01-16,543117,317493,225624,2
2019-01-17,552707,324366,228341,2
2019-01-18,335483,335483,335483,1
2019-01-19,537991,319133,218858,2
2019-01-20,486614,290786,195828,2
2019-01-21,496805,294195,202610,2
2019-01-22,523034,303046,219988,2
2019-01-23,314517,314517,314517,1
2019-01-24,575846,344465,231381,2
2019-01-25,581042,344059,236983,2
2019-01-26,573188,345418,227770,2
2019-01-27,738143,329841,195361,3
2019-01-28,561881,334376,227505,2
2019-01-29,558627,330756,227871,2
2019-01-30,542302,324646,217656,2
2019-01-31,545627,326116,219511,2
2019-02-01,582527,347842,234685,2
2019-02-02,578104,347088,231016,2
2019-02-03,759353,335495,203610,3
2019-02-04,539205,313806,225399,2
2019-02-05,563973,327119,236854,2
2019-02-06,550363,322725,227638,2
2019-02-07,557572,327462,230110,2
2019-02-08,337839,337839,337839,1
2019-02-09,548052,326522,221530,2
2019-02-10,511573,307661,203912,2
2019-02-11,527388,309540,217848,2
2019-02-12,531609,312105,219504,2
2019-02-13,553764,325195,228569,2
2019-02-14,854166,346291,239027,3
2019-02-15,638538,378695,259843,2
2019-02-16,889997,385924,240203,3
2019-02-17,1047985,371150,196127,4
2019-02-18,1113925,384477,209768,4
2019-02-19,1130498,381866,215370,4
