Date,Min of Play Count,Max of Play Count,Average of Play Count,Sum of Play Count,SD of Play Count
2018-05-05,206443,2024256,447450.020000000000,89490004,330466.55648797
2018-05-06,183602,1749448,394038.030000000000,78807606,285191.53061267
2018-05-07,207307,2270990,451612.770000000000,90322554,344698.51845111
2018-05-08,211661,2655720,455537.790000000000,91107558,348700.92179252
2018-05-09,211937,2749514,455923.455000000000,91184691,347390.02193545
2018-05-10,211163,2586594,449571.340000000000,89914268,335220.26988041
2018-05-11,232797,2753489,480991.830000000000,96198366,330665.71012947
2018-05-12,205662,2246370,420890.435000000000,84178087,297545.61397489
2018-05-13,181110,1899278,367246.240000000000,73449248,257016.34813663
2018-05-14,200345,2266501,418427.380000000000,83685476,295766.04731644
2018-05-15,202063,2170856,424887.375000000000,84977475,293542.31356784
2018-05-16,201153,2038482,421053.520000000000,84210704,289411.81911636
2018-05-17,203421,1914536,419471.440000000000,83894288,284065.52336501
2018-05-18,222716,1917414,443420.305000000000,88684061,284990.42900795
2018-05-19,191252,1663687,388487.370000000000,77697474,255830.87405556
2018-05-20,177334,1497274,353977.325000000000,70795465,230621.24036754
2018-05-21,202649,1641186,400705.195000000000,80141039,261676.37994739
2018-05-22,203478,1678577,410033.940000000000,82006788,270379.47772849
2018-05-23,207167,1763143,420130.005000000000,84026001,279311.17788086
2018-05-24,207034,1752491,418256.580000000000,83651316,276314.13800346
2018-05-25,233812,1775981,488800.580000000000,97760116,278765.51235232
2018-05-26,211895,1676503,412926.855000000000,82585371,245907.67288544
2018-05-27,188014,1510011,357589.330000000000,71517866,221670.30883376
2018-05-28,185907,1519266,360442.290000000000,72088458,227311.28501478
2018-05-29,203550,1652959,399849.270000000000,79969854,258894.32534378
2018-05-30,200856,1671122,407950.140000000000,81590028,263074.04957431
2018-05-31,200360,1620689,406392.635000000000,81278527,260034.01499029
2018-06-01,208854,1621779,417632.555000000000,83526511,262194.02783756
2018-06-02,198002,2757615,454790.540000000000,90958108,407313.91991991
2018-06-03,180782,2028903,396423.115000000000,79284623,309903.98420359
2018-06-04,195141,2175407,426478.890000000000,85295778,325903.28758859
2018-06-05,200640,1971870,431250.135000000000,86250027,313796.32884659
2018-06-06,198345,1803683,428149.920000000000,85629984,297699.80809009
2018-06-07,201997,1827627,424436.815000000000,84887363,285977.09313169
2018-06-08,213200,1792438,444245.750000000000,88849150,289109.60234296
2018-06-09,191393,1698070,419375.730000000000,83875146,289340.63342108
2018-06-10,175662,1622080,378055.505000000000,75611101,254469.24349685
2018-06-11,193149,1822942,413317.985000000000,82663597,277644.16874169
2018-06-12,196254,1852417,420554.825000000000,84110965,281377.99718652
2018-06-13,198010,1872518,415102.095000000000,83020419,274310.91250882
2018-06-14,198244,1897608,415768.430000000000,83153686,272513.57914570
2018-06-15,208803,1919224,420133.695000000000,84026739,271415.88918677
2018-06-16,201992,1877892,401273.200000000000,80254640,258914.96573824
2018-06-17,183427,1728992,351107.045000000000,70221409,228928.52081746
2018-06-18,203949,1930619,401761.205000000000,80352241,261530.93753055
2018-06-19,225354,4437612,537525.700000000000,107505140,535555.95343138
2018-06-20,219628,3124836,470961.500000000000,94192300,392396.83678163
2018-06-21,213620,2751467,452013.175000000000,90402635,357840.60994743
2018-06-22,226365,2464899,462109.165000000000,92421833,329031.21172514
2018-06-23,206685,2168559,419601.740000000000,83920348,299972.81095267
2018-06-24,192658,1916407,382161.840000000000,76432368,272235.21572899
2018-06-25,209105,1969889,411567.375000000000,82313475,284689.54876215
2018-06-26,206579,1962900,412307.200000000000,82461440,284229.75510678
2018-06-27,200463,1953065,403582.220000000000,80716444,279233.68534878
2018-06-28,200861,1967330,407671.670000000000,81534334,284168.36277549
2018-06-29,223932,5749019,765053.450000000000,153010690,1039333.3011
2018-06-30,194104,4509921,631552.575000000000,126310515,768905.29754465
2018-07-01,178126,3421046,505999.745000000000,101199949,527281.21888359
2018-07-02,197708,3174179,521040.920000000000,104208184,494987.62721153
2018-07-03,201689,2952407,506032.020000000000,101206404,447125.98380093
2018-07-04,215849,2517536,496770.515000000000,99354103,374230.23650472
2018-07-05,202156,2312745,449413.070000000000,89882614,356394.99276854
2018-07-06,211414,2457628,469089.690000000000,93817938,354484.28253385
2018-07-07,199165,2549499,437475.290000000000,87495058,338456.49699585
2018-07-08,185850,2643596,405251.760000000000,81050352,322670.18977386
2018-07-09,202054,3467481,447441.915000000000,89488383,377303.45844984
2018-07-10,203839,4142467,451680.180000000000,90336036,411591.21291096
2018-07-11,203945,4321552,459269.580000000000,91853916,416753.31563552
2018-07-12,209655,4554487,472924.915000000000,94584983,433750.82781540
2018-07-13,231581,4805299,502704.325000000000,100540865,449761.17941786
2018-07-14,210733,4705193,460309.675000000000,92061935,430740.29386046
2018-07-15,187214,4283237,408080.015000000000,81616003,387224.56535911
